timestamp_local,sleep_stage_num_somnofy,distance_mean,movement_mean,respiration_rate_mean,signal_quality_mean,sleep_stage_num_emfit,hr,rr,act,sleep_stage_num_psg
2022-09-06 22:36:00+00:00,2.0,1.0,9.0,0.0,6.0,3.0,70.0,15.3,31.0,2.0
2022-09-06 22:36:30+00:00,2.0,1.0,3.0,0.0,6.0,3.0,69.0,16.7,5.5,2.0
2022-09-06 22:37:00+00:00,2.0,1.0,0.0,21.0,7.0,3.0,70.0,16.7,12.0,0.0
2022-09-06 22:37:30+00:00,2.0,1.0,5.0,19.0,9.0,3.0,69.5,16.7,6.5,0.0
2022-09-06 22:38:00+00:00,2.0,1.0,3.0,21.0,7.0,3.0,69.0,18.5,20.0,2.0
2022-09-06 22:38:30+00:00,0.0,1.0,20.0,20.0,6.0,3.0,70.5,18.5,20.0,0.0
2022-09-06 22:39:00+00:00,2.0,1.0,2.0,0.0,7.0,3.0,72.0,18.5,13.0,2.0
2022-09-06 22:39:30+00:00,2.0,1.0,2.0,20.0,7.0,3.0,71.0,18.5,11.0,2.0
2022-09-06 22:40:00+00:00,2.0,1.0,9.0,21.0,8.0,3.0,68.0,22.7,11.0,2.0
2022-09-06 22:40:30+00:00,2.0,1.0,6.0,22.0,6.0,3.0,67.0,22.7,6.5,2.0
2022-09-06 22:41:00+00:00,2.0,1.0,1.0,21.0,10.0,3.0,71.0,22.7,24.0,2.0
2022-09-06 22:41:30+00:00,2.0,1.0,14.0,21.0,7.0,3.0,71.0,22.7,22.5,2.0
2022-09-06 22:42:00+00:00,2.0,1.0,3.0,20.0,6.0,3.0,69.0,22.7,19.0,2.0
2022-09-06 22:42:30+00:00,2.0,1.0,8.0,0.0,5.0,3.0,69.0,22.7,25.0,2.0
2022-09-06 22:43:00+00:00,2.0,1.0,2.0,18.0,7.0,3.0,72.0,19.7,20.0,2.0
2022-09-06 22:43:30+00:00,2.0,1.0,1.0,20.0,7.0,3.0,71.0,18.1,5.5,2.0
2022-09-06 22:44:00+00:00,2.0,1.0,2.0,19.0,6.0,3.0,72.0,17.7,16.0,2.0
2022-09-06 22:44:30+00:00,2.0,1.0,10.0,0.0,4.0,3.0,71.0,17.7,38.0,2.0
2022-09-06 22:45:00+00:00,0.0,1.0,16.0,0.0,6.0,3.0,70.0,17.7,17.0,2.0
2022-09-06 22:45:30+00:00,2.0,1.0,1.0,18.0,5.0,3.0,70.0,17.7,10.5,2.0
2022-09-06 22:46:00+00:00,2.0,1.0,8.0,19.0,10.0,3.0,70.0,17.7,36.0,2.0
2022-09-06 22:46:30+00:00,0.0,1.0,10.0,0.0,4.0,3.0,72.0,17.7,11.0,2.0
2022-09-06 22:47:00+00:00,0.0,1.0,9.0,0.0,6.0,3.0,69.0,17.7,15.0,2.0
2022-09-06 22:47:30+00:00,0.0,1.0,10.0,0.0,6.0,3.0,70.0,5.5,35.5,2.0
2022-09-06 22:48:00+00:00,0.0,1.0,10.0,0.0,7.0,3.0,71.0,9.0,52.0,2.0
2022-09-06 22:48:30+00:00,2.0,1.0,10.0,19.0,8.0,3.0,71.0,9.0,22.0,2.0
2022-09-06 22:49:00+00:00,0.0,1.0,21.0,0.0,6.0,3.0,71.0,9.5,19.0,2.0
2022-09-06 22:49:30+00:00,0.0,1.0,14.0,0.0,6.0,3.0,70.0,11.1,32.0,2.0
2022-09-06 22:50:00+00:00,0.0,1.0,10.0,0.0,6.0,3.0,67.0,11.1,24.0,2.0
2022-09-06 22:50:30+00:00,0.0,1.0,16.0,0.0,5.0,3.0,68.5,11.1,20.0,2.0
