timestamp_local,sleep_stage_num_somnofy,distance_mean,movement_mean,respiration_rate_mean,signal_quality_mean,sleep_stage_num_emfit,hr,rr,act,sleep_stage_num_psg
2022-02-20 22:36:30+00:00,2.0,1.0,0.0,14.0,4.0,2.0,55.0,15.3,1.5,2.0
2022-02-20 22:37:00+00:00,2.0,1.0,0.0,15.0,4.0,2.0,56.0,15.8,4.0,2.0
2022-02-20 22:37:30+00:00,2.0,1.0,1.0,16.0,5.0,2.0,56.0,16.05,8.5,2.0
2022-02-20 22:38:00+00:00,2.0,1.0,2.0,15.0,4.0,2.0,57.0,15.3,1.0,2.0
2022-02-20 22:38:30+00:00,2.0,1.0,0.0,15.0,5.0,2.0,56.0,14.8,31.5,2.0
2022-02-20 22:39:00+00:00,0.0,1.0,25.0,16.0,6.0,2.0,57.0,15.0,8.0,2.0
2022-02-20 22:39:30+00:00,1.0,1.0,0.0,0.0,6.0,2.0,63.0,14.9,7.0,0.0
2022-02-20 22:40:00+00:00,2.0,1.0,0.0,16.0,2.0,2.0,58.0,14.3,1.0,0.0
2022-02-20 22:40:30+00:00,2.0,1.0,0.0,15.0,1.0,2.0,57.0,14.8,1.0,2.0
2022-02-20 22:41:00+00:00,2.0,1.0,0.0,15.0,2.0,2.0,57.0,15.1,25.0,2.0
2022-02-20 22:41:30+00:00,0.0,1.0,32.0,15.0,7.0,2.0,62.5,15.1,0.0,0.0
2022-02-20 22:42:00+00:00,2.0,1.0,0.0,14.0,1.0,2.0,60.0,15.0,0.0,0.0
2022-02-20 22:42:30+00:00,2.0,1.0,0.0,15.0,1.0,2.0,57.0,14.55,0.0,2.0
2022-02-20 22:43:00+00:00,2.0,1.0,0.0,16.0,1.0,2.0,56.0,14.8,0.0,2.0
2022-02-20 22:43:30+00:00,2.0,1.0,0.0,15.0,1.0,2.0,56.0,15.45,2.0,2.0
2022-02-20 22:44:00+00:00,2.0,1.0,0.0,16.0,1.0,2.0,55.0,15.6,0.0,2.0
2022-02-20 22:44:30+00:00,2.0,1.0,0.0,15.0,1.0,2.0,55.0,16.2,1.0,2.0
2022-02-20 22:45:00+00:00,2.0,1.0,0.0,15.0,1.0,2.0,57.0,15.5,0.0,2.0
2022-02-20 22:45:30+00:00,2.0,1.0,0.0,15.0,2.0,2.0,56.0,15.6,0.0,2.0
2022-02-20 22:46:00+00:00,2.0,1.0,0.0,15.0,1.0,2.0,55.0,15.3,0.0,2.0
2022-02-20 22:46:30+00:00,2.0,1.0,0.0,15.0,2.0,2.0,57.0,15.7,1.0,2.0
2022-02-20 22:47:00+00:00,2.0,1.0,0.0,15.0,1.0,2.0,57.0,15.6,2.0,2.0
2022-02-20 22:47:30+00:00,2.0,1.0,0.0,15.0,2.0,2.0,55.5,15.55,0.5,2.0
2022-02-20 22:48:00+00:00,2.0,1.0,0.0,15.0,2.0,2.0,54.0,16.1,3.0,2.0
2022-02-20 22:48:30+00:00,2.0,1.0,3.0,15.0,2.0,2.0,56.0,14.0,0.0,2.0
2022-02-20 22:49:00+00:00,2.0,1.0,1.0,15.0,2.0,2.0,55.0,14.8,0.0,2.0
2022-02-20 22:49:30+00:00,2.0,1.0,0.0,15.0,1.0,2.0,55.0,14.8,0.0,2.0
2022-02-20 22:50:00+00:00,2.0,1.0,0.0,14.0,1.0,2.0,57.0,14.5,8.0,2.0
2022-02-20 22:50:30+00:00,2.0,1.0,0.0,15.0,1.0,2.0,57.5,15.0,1.0,2.0
2022-02-20 22:51:00+00:00,2.0,1.0,0.0,15.0,2.0,2.0,57.0,14.6,0.0,2.0
2022-02-20 22:51:30+00:00,2.0,1.0,2.0,15.0,2.0,2.0,59.5,14.7,1.5,2.0
2022-02-20 22:52:00+00:00,2.0,1.0,0.0,14.0,2.0,2.0,56.0,14.6,0.0,2.0
2022-02-20 22:52:30+00:00,2.0,1.0,0.0,15.0,2.0,2.0,56.0,15.3,0.0,2.0
2022-02-20 22:53:00+00:00,2.0,1.0,0.0,15.0,1.0,2.0,56.0,15.1,0.0,2.0
2022-02-20 22:53:30+00:00,3.0,1.0,0.0,15.0,2.0,2.0,57.5,15.2,1.5,2.0
2022-02-20 22:54:00+00:00,3.0,1.0,0.0,15.0,2.0,2.0,57.0,15.3,0.0,2.0
2022-02-20 22:54:30+00:00,3.0,1.0,0.0,15.0,2.0,3.0,57.0,15.6,0.0,2.0
2022-02-20 22:55:00+00:00,3.0,1.0,1.0,17.0,2.0,3.0,57.0,15.5,0.0,3.0
2022-02-20 22:55:30+00:00,3.0,1.0,0.0,15.0,2.0,3.0,58.0,15.8,0.0,2.0
2022-02-20 22:56:00+00:00,3.0,1.0,0.0,16.0,2.0,3.0,57.0,15.8,0.0,2.0
2022-02-20 22:56:30+00:00,3.0,1.0,0.0,15.0,1.0,3.0,55.0,15.45,0.0,2.0
