timestamp_local,sleep_stage_num_somnofy,sleep_stage_num_emfit,sleep_stage_num_psg
2021-09-03 19:53:30+00:00,0.0,,0.0
2021-09-03 19:54:00+00:00,0.0,,0.0
2021-09-03 19:54:30+00:00,0.0,,0.0
2021-09-03 19:55:00+00:00,0.0,,0.0
2021-09-03 19:55:30+00:00,0.0,,0.0
2021-09-03 19:56:00+00:00,0.0,,0.0
2021-09-03 19:56:30+00:00,0.0,,0.0
2021-09-03 19:57:00+00:00,0.0,,0.0
2021-09-03 19:57:30+00:00,0.0,,0.0
2021-09-03 19:58:00+00:00,0.0,,0.0
2021-09-03 19:58:30+00:00,0.0,,0.0
2021-09-03 19:59:00+00:00,0.0,,0.0
2021-09-03 19:59:30+00:00,0.0,,0.0
2021-09-03 20:00:00+00:00,0.0,,0.0
2021-09-03 20:00:30+00:00,0.0,1.0,0.0
2021-09-03 20:01:00+00:00,0.0,1.0,0.0
2021-09-03 20:01:30+00:00,0.0,1.0,0.0
2021-09-03 20:02:00+00:00,0.0,1.0,0.0
2021-09-03 20:02:30+00:00,0.0,1.0,0.0
2021-09-03 20:03:00+00:00,0.0,1.0,0.0
2021-09-03 20:03:30+00:00,0.0,1.0,0.0
2021-09-03 20:04:00+00:00,0.0,1.0,0.0
2021-09-03 20:04:30+00:00,0.0,1.0,0.0
2021-09-03 20:05:00+00:00,0.0,1.0,0.0
2021-09-03 20:05:30+00:00,0.0,1.0,0.0
2021-09-03 20:06:00+00:00,0.0,1.0,0.0
2021-09-03 20:06:30+00:00,0.0,1.0,0.0
2021-09-03 20:07:00+00:00,0.0,1.0,0.0
2021-09-03 20:07:30+00:00,0.0,1.0,0.0
2021-09-03 20:08:00+00:00,0.0,1.0,0.0
2021-09-03 20:08:30+00:00,0.0,1.0,0.0
2021-09-03 20:09:00+00:00,0.0,2.0,0.0
2021-09-03 20:09:30+00:00,0.0,2.0,0.0
2021-09-03 20:10:00+00:00,0.0,2.0,0.0
2021-09-03 20:10:30+00:00,,2.0,0.0
2021-09-03 20:11:00+00:00,0.0,2.0,0.0
2021-09-03 20:11:30+00:00,0.0,2.0,0.0
2021-09-03 20:12:00+00:00,0.0,2.0,0.0
2021-09-03 20:12:30+00:00,0.0,2.0,0.0
2021-09-03 20:13:00+00:00,0.0,2.0,0.0
